24-11-2022:=> Message:index is not defined, Status:404
24-11-2022 0:15:46:=> Res:  Message:E11000 duplicate key error collection: business-card-app.cards index: email_1 dup key: { email: "i@imiros.co.sad" }, Status:404
24-11-2022 19:57:33:=> Res:  Message:E11000 duplicate key error collection: business-card-app.users index: email_1 dup key: { email: "i@imiro.co.ils" }, Status:404
24-11-2022 20:8:50:=> Res:  Message:The 2nd parameter to `mongoose.model()` should be a schema or a POJO, Status:404
24-11-2022 20:9:51:=> Res:  Message:The 2nd parameter to `mongoose.model()` should be a schema or a POJO, Status:404
24-11-2022 20:10:44:=> Res:  Message:The 2nd parameter to `mongoose.model()` should be a schema or a POJO, Status:404
24-11-2022 20:11:38:=> Res:  Message:CheckUserLogin is not defined, Status:404
24-11-2022 20:33:16:=> Res:  Message:Parameter "filter" to findOne() must be an object, got i@imiro.co.ila, Status:404
24-11-2022 20:33:49:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:34:11:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:34:11:=> Res:  Message:E11000 duplicate key error collection: business-card-app.users index: email_1 dup key: { email: "i@imiro.co.il" }, Status:404
24-11-2022 20:34:11:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:34:11:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:35:20:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:35:20:=> Res:  Message:E11000 duplicate key error collection: business-card-app.users index: email_1 dup key: { email: "i@imiro.co.il" }, Status:404
24-11-2022 20:35:20:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:35:44:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:36:17:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:36:17:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:36:17:=> Res:  Message:יוזר רשום כבר, Status:404
24-11-2022 20:51:59:=> Res:  Message:אחד הפרטים לא נכונים, Status:403
